t_min,SoC_true_%,I_mA,Vterm_V,phase,STAT,fw_old_%,fw_new_%
0.000,3.00,300.0,3.5000,CC,0,5.0,5.0
0.083,3.07,300.0,3.5042,CC,0,5.1,5.1
0.167,3.14,300.0,3.5083,CC,0,5.1,5.1
0.250,3.21,300.0,3.5125,CC,0,5.2,5.2
0.333,3.28,300.0,3.5167,CC,0,5.2,5.2
0.417,3.35,300.0,3.5208,CC,0,5.3,5.3
0.500,3.42,300.0,3.5250,CC,0,5.3,5.3
0.583,3.49,300.0,3.5292,CC,0,5.4,5.4
0.667,3.56,300.0,3.5333,CC,0,5.4,5.4
0.750,3.62,300.0,3.5375,CC,0,5.5,5.5
0.833,3.69,300.0,3.5417,CC,0,5.5,5.5
0.917,3.76,300.0,3.5458,CC,0,5.6,5.6
1.000,3.83,300.0,3.5500,CC,0,5.6,5.6
1.083,3.90,300.0,3.5542,CC,0,5.7,5.7
1.167,3.97,300.0,3.5583,CC,0,5.7,5.7
1.250,4.04,300.0,3.5625,CC,0,5.8,5.8
1.333,4.11,300.0,3.5667,CC,0,5.8,5.8
1.417,4.18,300.0,3.5708,CC,0,5.9,5.9
1.500,4.25,300.0,3.5750,CC,0,6.0,6.0
1.583,4.32,300.0,3.5792,CC,0,6.0,6.0
1.667,4.39,300.0,3.5833,CC,0,6.1,6.1
1.750,4.46,300.0,3.5875,CC,0,6.1,6.1
1.833,4.53,300.0,3.5917,CC,0,6.2,6.2
1.917,4.60,300.0,3.5958,CC,0,6.2,6.2
2.000,4.67,300.0,3.6000,CC,0,6.3,6.3
2.083,4.74,300.0,3.6042,CC,0,6.3,6.3
2.167,4.81,300.0,3.6083,CC,0,6.4,6.4
2.250,4.87,300.0,3.6125,CC,0,6.4,6.4
2.333,4.94,300.0,3.6167,CC,0,6.5,6.5
2.417,5.01,300.0,3.6203,CC,0,6.5,6.5
2.500,5.08,300.0,3.6220,CC,0,6.6,6.6
2.583,5.15,300.0,3.6237,CC,0,6.6,6.6
2.667,5.22,300.0,3.6253,CC,0,6.7,6.7
2.750,5.29,300.0,3.6270,CC,0,6.7,6.7
2.833,5.36,300.0,3.6287,CC,0,6.8,6.8
2.917,5.43,300.0,3.6303,CC,0,6.8,6.8
3.000,5.50,300.0,3.6320,CC,0,6.9,6.9
3.083,5.57,300.0,3.6337,CC,0,7.0,7.0
